Dmsd, R^2, logDmsd, Rg, a2
4.85E+00,3.82E-04,1.58E+00,2.29E+01,1.70E-01
-4.91E+02,1.95E-01,nan,5.88E+01,3.82E-01
2.10E+02,1.60E-01,5.34E+00,3.75E+01,2.03E-01
3.32E+02,7.11E-01,5.80E+00,3.86E+01,7.10E-02
-7.01E+00,2.40E-03,nan,2.90E+01,9.16E-02
2.40E+03,5.35E-01,7.78E+00,1.40E+02,1.72E-02
-1.70E+02,4.13E-02,nan,8.76E+01,7.66E-01
3.43E+02,8.00E-01,5.84E+00,2.46E+01,8.17E-02
1.19E+02,6.26E-01,4.78E+00,1.82E+01,2.81E-01
9.94E+02,8.90E-01,6.90E+00,4.51E+01,8.34E-02
3.81E+02,7.76E-01,5.94E+00,5.40E+01,2.36E-01
1.74E+02,1.44E-01,5.16E+00,2.85E+01,2.89E-01
6.85E+02,2.44E-01,6.53E+00,1.11E+02,4.58E-02
6.22E+01,5.92E-01,4.13E+00,7.17E+00,3.84E-01
3.94E+01,5.51E-02,3.67E+00,4.00E+01,5.73E-02
4.29E+02,3.04E-01,6.06E+00,7.80E+01,2.78E-01
3.00E+02,9.45E-01,5.71E+00,1.63E+01,2.78E-01
2.63E+03,9.93E-01,7.87E+00,4.09E+02,7.89E-04
-1.11E+02,8.09E-03,nan,7.28E+01,1.80E-01
1.51E+02,4.80E-01,5.02E+00,1.72E+01,2.92E-01
-7.49E+02,2.78E-01,nan,9.25E+01,4.34E-01
4.46E+03,8.90E-01,8.40E+00,1.65E+02,2.85E-02
5.73E+02,8.86E-01,6.35E+00,4.13E+01,3.40E-01
1.43E+02,1.16E-01,4.96E+00,3.88E+01,3.40E-01
1.11E+02,2.58E-01,4.71E+00,1.28E+01,3.16E-01
1.05E+02,1.26E-01,4.66E+00,3.28E+01,1.76E-01
1.86E+01,3.19E-04,2.92E+00,1.51E+02,8.13E-02
1.11E+03,6.99E-01,7.01E+00,7.97E+01,3.59E-01
3.13E+03,5.87E-01,8.05E+00,2.36E+02,4.11E-03
-7.06E+02,6.71E-01,nan,6.98E+01,2.54E-01
7.21E+02,6.62E-01,6.58E+00,6.51E+01,1.62E-01
1.23E+02,1.07E-01,4.81E+00,3.44E+01,3.40E-01
7.68E+02,7.84E-01,6.64E+00,6.58E+01,7.84E-02
1.93E+03,3.93E-01,7.56E+00,1.58E+02,9.43E-02
-1.62E+01,2.67E-02,nan,1.18E+01,1.77E-01
-2.82E+01,6.06E-02,nan,3.52E+01,1.89E-01
1.00E+01,1.00E-01,2.00E+01,3.00E+01,2.00E-01
